x,y,z
9.979177,0.080204,1.497854
9.979177,0.051053,1.499131
9.979177,0.021883,1.499840
9.979177,-0.007295,1.499982
9.979177,-0.036470,1.499557
9.979177,-0.065632,1.498563
9.979177,-0.094768,1.497003
9.979177,-0.123869,1.494877
9.979177,-0.152923,1.492184
9.979177,-0.181919,1.488928
9.979177,-0.210846,1.485107
9.979177,-0.239694,1.480725
9.979177,-0.268451,1.475783
9.979177,-0.297106,1.470282
9.979177,-0.325648,1.464224
9.979177,-0.354068,1.457613
9.979177,-0.382354,1.450450
9.979177,-0.410494,1.442738
9.979177,-0.410494,1.442738
9.453957,-0.410494,1.442738
8.928737,-0.410494,1.442738
8.403517,-0.410494,1.442738
7.878297,-0.410494,1.442738
7.353078,-0.410494,1.442738
6.827858,-0.410494,1.442738
6.302638,-0.410494,1.442738
5.777418,-0.410494,1.442738
5.252198,-0.410494,1.442738
4.726978,-0.410494,1.442738
4.201759,-0.410494,1.442738
3.676539,-0.410494,1.442738
3.151319,-0.410494,1.442738
2.626099,-0.410494,1.442738
2.100879,-0.410494,1.442738
1.575659,-0.410494,1.442738
1.050440,-0.410494,1.442738
0.525220,-0.410494,1.442738
0.000000,-0.410494,1.442738
0.000000,-0.410494,1.442738
0.000000,-0.438480,1.434481
0.000000,-0.466300,1.425680
0.000000,-0.493943,1.416341
0.000000,-0.521399,1.406465
0.000000,-0.548658,1.396057
0.000000,-0.575710,1.385120
0.000000,-0.602543,1.373660
0.000000,-0.629149,1.361680
0.000000,-0.655516,1.349184
0.000000,-0.681636,1.336178
0.000000,-0.707497,1.322667
0.000000,-0.733091,1.308655
0.000000,-0.758407,1.294148
0.000000,-0.783437,1.279151
0.000000,-0.808170,1.263670
0.000000,-0.832597,1.247711
0.000000,-0.856709,1.231280
0.000000,-0.880497,1.214382
0.000000,-0.903952,1.197026
0.000000,-0.903952,1.197026
0.525220,-0.903952,1.197026
1.050440,-0.903952,1.197026
1.575659,-0.903952,1.197026
2.100879,-0.903952,1.197026
2.626099,-0.903952,1.197026
3.151319,-0.903952,1.197026
3.676539,-0.903952,1.197026
4.201759,-0.903952,1.197026
4.726978,-0.903952,1.197026
5.252198,-0.903952,1.197026
5.777418,-0.903952,1.197026
6.302638,-0.903952,1.197026
6.827858,-0.903952,1.197026
7.353078,-0.903952,1.197026
7.878297,-0.903952,1.197026
8.403517,-0.903952,1.197026
8.928737,-0.903952,1.197026
9.453957,-0.903952,1.197026
9.979177,-0.903952,1.197026
9.979177,-0.903952,1.197026
9.979177,-0.927065,1.179216
9.979177,-0.949827,1.160961
9.979177,-0.972229,1.142265
9.979177,-0.994264,1.123138
9.979177,-1.015922,1.103586
9.979177,-1.037196,1.083616
9.979177,-1.058078,1.063236
9.979177,-1.078559,1.042454
9.979177,-1.098632,1.021277
9.979177,-1.118290,0.999714
9.979177,-1.137524,0.977773
9.979177,-1.156328,0.955461
9.979177,-1.174694,0.932788
9.979177,-1.192616,0.909763
9.979177,-1.210086,0.886392
9.979177,-1.227099,0.862687
9.979177,-1.243647,0.838655
9.979177,-1.259725,0.814306
9.979177,-1.275326,0.789648
9.979177,-1.275326,0.789648
9.453957,-1.275326,0.789648
8.928737,-1.275326,0.789648
8.403517,-1.275326,0.789648
7.878297,-1.275326,0.789648
7.353078,-1.275326,0.789648
6.827858,-1.275326,0.789648
6.302638,-1.275326,0.789648
5.777418,-1.275326,0.789648
5.252198,-1.275326,0.789648
4.726978,-1.275326,0.789648
4.201759,-1.275326,0.789648
3.676539,-1.275326,0.789648
3.151319,-1.275326,0.789648
2.626099,-1.275326,0.789648
2.100879,-1.275326,0.789648
